need_id,column_name,display_text
N01,public_medical_usage_2,公費医療の利用 ②感染症医療費
N01,public_system_usage_2,公費制度の利用 ②療育手帳
N01,economic_status_1_2, 1. この1年で家計に困ったことは？ 年２~３回
N01,economic_status_1_3, 1. この1年で家計に困ったことは？ 年４~５回
N01,economic_status_1_4, 1. この1年で家計に困ったことは？ 年６回以上
N01,economic_status_2_2, 2. 給与日前に困ったことは？ 年２~３回
N01,economic_status_2_3, 2. 給与日前に困ったことは？ 年４~５回
N01,economic_status_2_4,2. 給与日前に困ったことは？ 年６回以上
N02,room_cleanliness_1b,居室の清潔　掃除はされず、ごみが散らかっている
N02,room_cleanliness_2a,居室の清潔　室内は汚く、ごみや排泄物で不衛生な状態
N02,room_safety_level_1,住居環境の状況　住居が機能的・安全でない個所の改修を希望、家族人数には見合った広さである
N02,room_safety_level_2,住居環境の状況　住居が機能的でなく障害物状態だが改修-整理を希望しない、家族人数に見合った広さでない
N02,reform_need_1,住環境の改修 必要あり
N02,reform_place_room,住環境改修　居室
N02,reform_place_bathroom,住環境改修　浴室
N02,reform_place_datsuishitsu,住環境改修　脱衣室
N02,reform_place_bathtub,住環境改修　浴槽
N02,reform_place_toilet,住環境改修　トイレ
N02,reform_place_benki,住環境改修　便器
N02,reform_place_hallway,住環境改修　廊下
N02,reform_place_entrance,住環境改修　玄関
N02,reform_place_garden,住環境改修　庭
N02,reform_place_stairs,住環境改修　階段
N02,reform_place_other,住環境改修　その他
N02,care_tool_need_1,介護用具の必要 必要あり
N02,care_tool_type_move,介護用具　移動用具
N02,care_tool_type_life,介護用具　生活用具
N02,care_tool_type_assist,介護用具　介助用具
N02,equipment_need_1,生活設備の改修 必要あり
N02,equipment_type_life_tool,生活設備　障害者用生活用具
N02,equipment_type_electric,生活設備　電気
N02,equipment_type_aircon,生活設備　冷暖房機
N02,equipment_type_elevator,生活設備　エレベータ
N02,equipment_type_other_flag,生活設備　その他
N02,equipment_type_other,生活設備　その他（詳細）
N02,social_service_usage_2,介護保険サービス利用の判断　介護・社会的サービスの制度や内容を知らない、導入の理解や判断には支援が必要
N02,social_service_usage_3,介護保険サービス利用の判断　介護・社会的サービスの制度や内容を知っていて使っていない、拒否している
N03,care_burden_feeling_2,介護をしていて不安やイライラ・疲れ・怒りの気持ちがありますか　軽く思う
N03,care_burden_feeling_3,介護をしていて不安やイライラ・疲れ・怒りの気持ちがありますか　かなり思う
N03,care_burden_feeling_4,介護をしていて不安やイライラ・疲れ・怒りの気持ちがありますか　非常に思う
N03,care_burden_health_2,介護が始まり、自分の体調や健康に影響がありますか　軽く思う
N03,care_burden_health_3,介護が始まり、自分の体調や健康に影響がありますか　かなり思う
N03,care_burden_health_4,介護が始まり、自分の体調や健康に影響がありますか　非常に思う
N03,care_burden_life_2,介護をしていて家族や友人との付き合いに支障をきたしていますか 軽く思う
N03,care_burden_life_3,介護をしていて自分の生活に影響がありますか　かなり思う
N03,care_burden_life_4,介護をしていて自分の生活に影響がありますか　非常に思う
N03,care_intention_2,介護をしていて自分の趣味や社会参加に支障を来たしていますか 軽く思う    
N03,care_intention_3,介護をしていて自分の趣味や社会参加に支障を来たしていますか かなり思う
N03,care_intention_4,介護をしていて自分の趣味や社会参加に支障を来たしていますか 非常に思う
N03,care_burden_impact_2,介護のために自分の仕事に影響がでていますか 軽く思う
N03,care_burden_impact_3,介護のために自分の仕事に影響がでていますか かなり思う
N03,care_burden_impact_4,介護のために自分の仕事に影響がでていますか 非常に思う
N03,care_intention_2,今後の介護について 様子を見ながらつづけるか判断したい
N03,care_intention_3,今後の介護について 兄弟・姉妹等介護の代役を予定している
N03,care_intention_4,今後の介護について 施設を考えているが手続きはしていない
N03,care_intention_5,今後の介護について 在宅の継続は考えていない、施設入所を申し込み順番を待っている
N03,abuse_injury_2,創傷の発生（身体的虐待）　　既に治った創傷はあるが新たなものはない
N03,abuse_injury_3,創傷の発生（身体的虐待）　　様々な治癒段階の傷や骨折がある
N03,abuse_injury_4,創傷の発生（身体的虐待）　　多くの創傷や骨折がある
N03,neglect_hygiene_2,身体の不衛生（ケアの放置）　既に治った発疹・感染はあるが新たなものはない
N03,neglect_hygiene_3,身体の不衛生（ケアの放置）　不衛生による発疹や感染が様々にある
N03,neglect_hygiene_4,身体の不衛生（ケアの放置）　多くの不衛生による発疹や感染がある
N03,psychological_abuse_2,言葉による攻撃や否定的メッセージの持続（心理的虐待）　過去言葉の攻撃や否定的メッセージがあったが新たなものはない
N03,psychological_abuse_3,言葉による攻撃や否定的メッセージの持続（心理的虐待）　時に言葉の攻撃または否定的メッセージをおこなっている
N03,psychological_abuse_4,言葉による攻撃や否定的メッセージの持続（心理的虐待）　数多く言葉の攻撃または否定的メッセージをおこなっている
N03,neglect_care_2,介護等世話の放棄（ネグレクト）/ 拘束　過去介護放棄・拘束の状態があったが新たなものはない
N03,neglect_care_3,介護等世話の放棄（ネグレクト）/ 拘束　時に介護を放棄・拘束している
N03,neglect_care_4,介護等世話の放棄（ネグレクト）/ 拘束　殆ど介護されず放棄・拘束状態となっている
N03,sexual_abuse_2,性的暴力　過去性的暴力にあったが新たなものはない
N03,sexual_abuse_3,性的暴力　時に性的暴力をおこなっている
N03,sexual_abuse_4,性的暴力　頻繁に性的暴力をおこなっている
N03,financial_abuse_2,金銭的な受け渡しの参加　過去に金銭的な受け渡しのトラブルにあったが新たなものはない
N03,financial_abuse_3,金銭的な受け渡しの参加　時に金銭的な受け渡しのトラブル行為が周囲により行われている
N03,financial_abuse_4,金銭的な受け渡しの参加  頻繁に金銭的な受け渡しのトラブル行為がおこなわれている
N03,care_burden_1_working,介護負担1　就労中
N03,care_burden_1_studying,介護負担1　就学中
N03,care_burden_1_elderly,介護負担1　高齢
N03,care_burden_1_disabled,介護負担1　要介護状態・病弱・認知症・身体障碍等
N03,care_burden_1_pregnant,介護負担1　妊娠
N03,care_burden_1_childcare,介護負担1  育児中
N03,care_burden_2_working,介護負担2　就労中
N03,care_burden_2_studying,介護負担2　就学中
N03,care_burden_2_elderly,介護負担2　高齢
N03,care_burden_2_disabled,介護負担2　要介護状態・病弱・認知症・身体障碍等
N03,care_burden_2_pregnant,介護負担2　妊娠
N03,care_burden_2_childcare,介護負担2　育児中
N03,care_burden_3_working,介護負担3　就労中
N03,care_burden_3_studying,介護負担3　就学中
N03,care_burden_3_elderly,介護負担3　高齢
N03,care_burden_3_disabled,介護負担3　要介護状態・病弱・認知症・身体障碍等
N03,care_burden_3_pregnant,介護負担3　妊娠
N03,care_burden_3_childcare,介護負担3　育児中
N03,care_burden_4_working,介護負担4　就労中
N03,care_burden_4_studying,介護負担4　就学中
N03,care_burden_4_elderly,介護負担4　高齢
N03,care_burden_4_disabled,介護負担4　要介護状態・病弱・認知症・身体障碍等
N03,care_burden_4_pregnant,介護負担4　妊娠
N03,care_burden_4_childcare,介護負担4　育児中
N04,alcohol_problem_1,飲酒の問題　過去にトラブルあり
N04,alcohol_problem_2,飲酒の問題　現在トラブルあり
N04,alcohol_problem_3,飲酒の問題　10年以上の多量飲酒
N04,who_alcohol_criteria_1,WHO飲酒基準　1.お酒を飲めない状況でも強い飲酒欲求を感じたことがある
N04,who_alcohol_criteria_2,WHO飲酒基準　2.自分の意思に反して、酒を飲み始め、予定より長時間飲み続けたことがある。また予定よりたくさん飲んだことがある
N04,who_alcohol_criteria_3,WHO飲酒基準　3.酒の量を減らしたり、やめたりの時、手が震える、汗をかく、眠れない、不安になるなどの症状が出たことがある
N04,who_alcohol_criteria_4,WHO飲酒基準　4.飲酒を続けることでお酒に強くなった、あるいは、高揚感を得るのに必要なお酒の量が増えた
N04,who_alcohol_criteria_5,WHO飲酒基準　5.飲酒のために仕事、付き合い、趣味、スポーツなどの大切なことをあきらめたり、大幅に減らした
N04,who_alcohol_criteria_6,WHO飲酒基準　6.お酒の飲みすぎによる身体や心の病気がありながら、またそれがお酒の飲みすぎのせいだと知りながら、それでもお酒を飲み続けた
N04,who_alcohol_result_1,WHO飲酒判定　1～2項目あり（生活指導）
N04,who_alcohol_result_2,WHO飲酒判定　3項目以上あり（治療等の勧め）
N04,smoking_habit_1,喫煙習慣　あり
N04,sleep_quality_1,睡眠と休息　日中/夜間の睡眠をとっているが休息感がない
N04,sleep_quality_2,睡眠の質　日中/夜間の睡眠をとれず中休息感がない
N04,sleep_quality_3,睡眠の質　睡眠のパターンがない、日中眠すぎて夜眠れない、夜間眠れず休息感がない
N04,fatigue_1,疲労感　あり（身体や精神的に）
N04,fatigue_detail_だるい,疲労感　だるい
N04,fatigue_detail_疲れやすい,疲労感　疲れやすい
N04,fatigue_detail_疲れが残ってる,疲労感　疲れが残ってる
N04,fatigue_detail_慢性的に疲れている,疲労感　慢性的に疲れている
N04,allergy_1,アレルギー　あり
N04,allergy_detail_食物,アレルギー　食物
N04,allergy_detail_薬,アレルギー　薬
N04,allergy_detail_植物花粉,アレルギー　植物花粉
N04,allergy_detail_金属,アレルギー　金属
N04,allergy_detail_ハウスダスト,アレルギー　ハウスダスト
N04,allergy_detail_衣類,アレルギー　衣類
N04,allergy_detail_その他,アレルギー　その他
N04,allergy_other,アレルギー　その他（詳細）
N04,physical_activity_1,身体活動・運動　ねたきり・動きたくない・座るのもいや・運動習慣がない
N05,bmi_category_2,BMI区分 30.0～34.99：肥満1度
N05,bmi_category_3,BMI区分 35.0~39.99：肥満2度
N05,bmi_category_4,BMI区分 40.0以上：肥満3度
N05,bmi_category_5,BMI区分 17.0～18.49：痩せぎみ
N05,bmi_category_6,BMI区分 16.0～16.99：痩せ
N05,bmi_category_7,BMI区分 16.0未満：痩せすぎ
N05,weight_change_1,ここ1ヶ月（30日）の体重変動　体重の3～5％の減（中リスク）
N05,weight_change_2,ここ1ヶ月（30日）の体重変動　体重の5％以上の減（高リスク）
N05,nutrition_self_management_2,栄養／食事の自己管理　誰かが準備した時のみ、食べやすくバランスの良い配食‣食材での食事となっている
N05,nutrition_self_management_3,栄養／食事の自己管理　全て出前やお店食で済まし、食材のバランスや食べやすさは考えていない。量が多い又は少ない
N05,nutrition_self_management_4,栄養／食事の自己管理　栄養は考えず好きなものを食べる、なれた食事パターンを変えることはしたくない
N05,dietary_therapy_1,食事療法　あり
N05,meal_frequency_1,食事回数　日2回食（朝・昼・夕）
N05,meal_frequency_2,食事回数　日1回食（朝・昼・夕）
N05,meal_frequency_3,食事回数　4回以上
N05,water_intake_1,１日の水分量（飲水・食事・点滴を含む）　少ない（1000ml未満）
N05,water_intake_2,１日の水分量（飲水・食事・点滴を含む）　非常に少ない（500ml未満）
N05,water_intake_3,１日の水分量（飲水・食事・点滴を含む）　非常に多い（3000ml以上）
N05,wound_depth_d1,褥瘡深さ　真皮までの損傷
N05,wound_depth_d3,褥瘡深さ　皮下組織までの損傷
N05,wound_depth_d4,褥瘡深さ　皮下組織を超える損傷
N05,wound_depth_d5,褥瘡深さ　関節腔、体腔に至る損傷
N05,wound_depth_dti,褥瘡深さ　深部損傷疑い(DTI)
N05,wound_depth_du,褥瘡深さ　壊死組織で覆われ深さの判定が不能
N05,wound_exudate_e1,褥瘡滲出液　少量・毎日のドレッシング交換をしない
N05,wound_exudate_e3,褥瘡滲出液　中等量・1日1回のドレッシング交換を必要とする
N05,wound_exudate_e6,褥瘡滲出液　多量・1日2回以上のドレッシング交換を必要とする
N05,wound_size_s3,褥瘡大きさ　4未満（長径cm×短径（長径と直行する最長径）cm）
N05,wound_size_s6,褥瘡大きさ　4以上16未満
N05,wound_size_s8,褥瘡大きさ　16以上36未満
N05,wound_size_s9,褥瘡大きさ　36以上64未満
N05,wound_size_s12,褥瘡大きさ　64以上100未満
N05,wound_size_s15,褥瘡大きさ　100以上
N05,wound_infection_i1,褥瘡炎症・感染　局所の炎症兆候あり（創周囲の発赤・腫脹・熱感・疼痛）
N05,wound_infection_i3,褥瘡炎症・感染　臨床的定着疑い（創面にぬめりがあり、浸出液が多い。肉芽があれば、浮腫性で脆弱など）※5
N05,wound_infection_i3c,褥瘡炎症・感染　局所の明らかな感染徴候あり（炎症兆候、膿、悪臭など）
N05,wound_infection_i9,褥瘡炎症・感染　全身的影響あり
N05,wound_granulation_g1,褥瘡肉芽組織　良性肉芽が創面の90%以上を占める
N05,wound_granulation_g3,褥瘡肉芽組織　良性肉芽が創面の50%以上90%未満を占める
N05,wound_granulation_g4,褥瘡肉芽組織　良性肉芽が創面の10%以上50%未満を占める
N05,wound_granulation_g5,褥瘡肉芽組織　良性肉芽が創面の10%未満を占める
N05,wound_granulation_g6,褥瘡肉芽組織　良性肉芽が全く形成されていない
N05,wound_necrosis_n3,褥瘡壊死組織　柔らかい壊死組織あり
N05,wound_necrosis_n6,褥瘡壊死組織　硬く厚い密着した壊死組織あり
N05,wound_pocket_p6,褥瘡ポケット　4未満
N05,wound_pocket_p6_4to16,褥瘡ポケット　4以上16未満
N05,wound_pocket_p12,褥瘡ポケット　16以上36未満
N05,wound_pocket_p24,褥瘡ポケット　36以上
N06,swallowing_1,嚥下　お茶や汁物を含ませてしまいむせ込みにくい
N06,swallowing_2,嚥下　口腔移動がうまく、呑み込むにくい
N06,swallowing_3,嚥下　おかゆ・ゼリー・とろみ食でも含ませてしまい呑み込みにくい
N06,swallowing_4,嚥下　嚥下できない
N06,oral_teeth_gum_1,開口　開口には応じないが徒手的に2横指程度開口可能（要注意）
N06,oral_teeth_gum_2,開口	食いしばりや顎関節の拘縮のため開口量が1横指程度（問題あり）
N06,oral_saliva_flow_1,口臭　口腔に近づくと口臭を感じる（要注意）
N06,oral_saliva_flow_2,口臭　室内に口臭由来のにおいを感じる（問題あり）
N06,oral_dryness_1,よだれ　なし　嚥下反射の低下を疑うが、よだれなし（要注意）
N06,oral_dryness_2,よだれ　あり　嚥下反射の低下による（問題あり）
N06,oral_saliva_1,口腔乾燥度・唾液　唾液あり・唾液が少なくネバネバ（要注意）
N06,oral_saliva_2,口腔乾燥度・唾液　明らかに抵抗が増し、粘膜にくっつきそうになる・唾液が少なくカラカラ（問題あり）
N06,oral_denture_condition_1,歯・義歯　部分的に歯垢や食物残渣がある・動揺する歯があるが、ケアの妨げにならない程度（要注意）
N06,oral_denture_condition_2,歯・義歯　歯垢・歯石が多量に付着・抜けそうな歯がある（問題あり）
N06,oral_tongue_1,粘膜全体　乾燥・発赤など色調のの変化（要注意）
N06,oral_tongue_2,粘膜全体　自然出血、潰瘍、カンジダ、気道分泌物剥離上皮、凝血の塊などが目立ち、強固に付着（問題あり）
N06,oral_tongue_surface_1,舌　乳頭が明確でなくテカリがある(舌苔ができ白い)、乳頭ない(平滑舌)（要注意）
N06,oral_tongue_surface_2,舌　水疱/ひび割れている（問題あり）
N06,oral_mucosa_1,口腔　亀裂あり　口角炎（要注意）
N06,oral_gum_1,歯肉　浮腫、ブラッシングで出血、発赤（要注意）
N06,oral_gum_2,歯肉　自然に出血、圧すと出血（問題あり）
N07,room_cleanliness_1b,居室の清潔　掃除はされず、ごみが散らかっている
N07,room_cleanliness_2a,居室の清潔　室内は汚く、ごみや排泄物で不衛生な状態
N07,oral_saliva_flow_1,口臭　口腔に近づくと口臭を感じる（要注意）
N07,oral_saliva_flow_2,口臭　室内に口臭由来のにおいを感じる（問題あり）
N07,oral_dryness_1,よだれ　なし　嚥下反射の低下を疑うが、よだれなし（要注意）
N07,oral_dryness_2,よだれ　あり　嚥下反射の低下による（問題あり）
N07,oral_saliva_1,口腔乾燥度・唾液　唾液あり・唾液が少なくネバネバ（要注意）
N07,oral_saliva_2,口腔乾燥度・唾液　明らかに抵抗が増し、粘膜にくっつきそうになる・唾液が少なくカラカラ（問題あり）
N07,skin_nail_care_1,清潔・整容　時折、入浴（シャワー浴）・保清・シャンプー・髭剃・整髪・更衣ができるが、肌に汚れが目立つ
N07,skin_nail_care_2,清潔・整容　たまに、入浴（シャワー浴）・保清・シャンプー・髭剃・整髪・更衣ができるが、汚れが目立つ
N07,skin_nail_care_3,清潔・整容　めったに、入浴（シャワー浴）・保清・シャンプー・髭剃・整髪・更衣をせず、汚れている
N07,bedsore_wound_1, 皮膚・爪の状態　全身の皮膚や爪の汚れ、発赤、湿疹、水疱、かゆみ、発汗、悪臭、ドライスキンなくきれいである
N07,bedsore_wound_2, 皮膚・爪の状態　足の色の変化、冷感、足背動脈や後脛骨動脈の拍知、痛みや知覚障がいがある
N07,bedsore_wound_3, 皮膚・爪の状態　爪白癬、まき爪、肥厚爪（肥厚爪甲）、脚趾、壊疽、外反母趾、内反小趾、
N08,urination_status_1,尿の状態　問題あり(血が混じっている・濁っている・フワフワ浮いているものがある・強い尿臭あり)
N08,urination_1,尿意　あり
N08,urination_frequency_1,尿の回数　１日１～２回
N08,urination_frequency_2,尿の回数　昼間８回以上・夜間３回以上
N08,urination_control_1,排尿のコントロール　くしゃみ・咳で漏れる、トイレに間に合わない、下腹部に違和感がある
N08,urination_control_2,排尿のコントロール　いつもお腹に力を入れいきんで出している、残尿感がある、陰部が痒い
N08,urination_control_3,排尿のコントロール　昼夜問わず失禁する、排尿痛がある、下腹部が痛い
N08,defecation_status_a,便の状態　問題あり　コロコロ便
N08,defecation_status_b,便の状態　問題あり　凸凹した硬い便
N08,defecation_status_c,便の状態　問題あり　軟らかすぎていない状態
N08,defecation_status_d,便の状態　問題あり　水様便
N08,defecation_status_e,便の状態　問題あり　色がついている便（あざやかな赤色、白色、黒色、鉛色、黄色、赤褐色）
N08,defecation_frequency_1,排便の周期　排便の周期がなく　お腹が張って苦しい
N08,defecation_frequency_2,排便の周期　決まった時間（食後）に排便訓練をしていないので便秘となっている
N08,defecation_control_1,排便コントロール　通常は便失禁しない（まれにある）
N08,defecation_control_2,排便コントロール　月に何回か失禁するが毎週ではない
N08,defecation_control_3,排便コントロール　週に1回以上失禁するが、若干コントロールが保たれている
N08,defecation_control_4,排便コントロール　完全な失禁状態（コントロールできない）で汚れてしまう
N08,defecation_method_1,排便の調整方法　食事や水分・腸の刺激、排便訓練など、時々の下剤で調整できている
N08,defecation_method_2,排便の調整方法　下剤、敵便、浣腸等で主に調整。食事、運動、排便訓練はたまに行う
N08,defecation_method_3,排便の調整方法　一貫して下剤・敵便・浣腸で調整。食事、水分、運動、排便訓練はほとんど行う
N08,defecation_method_4,排便の調整方法　多剤の下剤使用、食事、水分、運動等の刺激・調整が全くない
N09,bedsore_wound_1,皮膚・爪の状態　全身の皮膚や爪の汚れ、発赤、湿疹、水疱、かゆみ、発汗、悪臭、ドライスキンなくきれいである
N09,bedsore_wound_2,皮膚・爪の状態　足の色の変化、冷感、足背動脈や後脛骨動脈の拍知、痛みや知覚障がいがある
N09,bedsore_wound_3,皮膚・爪の状態　爪白癬、まき爪、肥厚爪（肥厚爪甲）、脚趾、壊疽、外反母趾、内反小趾、
N09,skin_condition_1,創傷　傷が治るために盛り上がった肉のかたまりができている
N09,skin_condition_2,創傷　盛り上がった新しい肉のかたまりができはじめたばかり
N09,skin_condition_3,創傷　治療はしていない、放置状態である
N09,urination_control_1,排尿のコントロール　くしゃみ・咳で漏れる、トイレに間に合わない、下腹部に違和感がある
N09,urination_control_2,排尿のコントロール　いつもお腹に力を入れいきんで出している、残尿感がある、陰部が痒い
N09,urination_control_3,排尿のコントロール　昼夜問わず失禁する、排尿痛がある、下腹部が痛い
N09,defecation_control_1,排便コントロール　通常は便失禁しない（まれにある）
N09,defecation_control_2,排便コントロール　月に何回か失禁するが毎週ではない
N09,defecation_control_3,排便コントロール　週に1回以上失禁するが、若干コントロールが保たれている
N09,defecation_control_4,排便コントロール　完全な失禁状態（コントロールできない）で汚れてしまう
N09,wound_depth_d1,褥瘡深さ　真皮までの損傷
N09,wound_depth_d3,褥瘡深さ　皮下組織までの損傷
N09,wound_depth_d4,褥瘡深さ　皮下組織を超える損傷
N09,wound_depth_d5,褥瘡深さ　関節腔、体腔に至る損傷
N09,wound_depth_dti,褥瘡深さ　深部損傷疑い(DTI)
N09,wound_depth_du,褥瘡深さ　壊死組織で覆われ深さの判定が不能
N09,wound_exudate_e1,褥瘡滲出液　少量・毎日のドレッシング交換をしない
N09,wound_exudate_e3,褥瘡滲出液　中等量・1日1回のドレッシング交換を必要とする
N09,wound_exudate_e6,褥瘡滲出液　多量・1日2回以上のドレッシング交換を必要とする
N09,wound_size_s3,褥瘡大きさ　4未満（長径cm×短径（長径と直行する最長径）cm）
N09,wound_size_s6,褥瘡大きさ　4以上16未満
N09,wound_size_s8,褥瘡大きさ　16以上36未満
N09,wound_size_s9,褥瘡大きさ　36以上64未満
N09,wound_size_s12,褥瘡大きさ　64以上100未満
N09,wound_size_s15,褥瘡大きさ　100以上
N09,wound_infection_i1,褥瘡炎症・感染　局所の炎症兆候あり（創周囲の発赤・腫脹・熱感・疼痛）
N09,wound_infection_i3,褥瘡炎症・感染　臨床的定着疑い（創面にぬめりがあり、浸出液が多い。肉芽があれば、浮腫性で脆弱など）※5
N09,wound_infection_i3c,褥瘡炎症・感染　局所の明らかな感染徴候あり（炎症兆候、膿、悪臭など）
N09,wound_infection_i9,褥瘡炎症・感染　全身的影響あり
N09,wound_granulation_g1,褥瘡肉芽組織　良性肉芽が創面の90%以上を占める
N09,wound_granulation_g3,褥瘡肉芽組織　良性肉芽が創面の50%以上90%未満を占める
N09,wound_granulation_g4,褥瘡肉芽組織　良性肉芽が創面の10%以上50%未満を占める
N09,wound_granulation_g5,褥瘡肉芽組織　良性肉芽が創面の10%未満を占める
N09,wound_granulation_g6,褥瘡肉芽組織　良性肉芽が全く形成されていない
N09,wound_necrosis_n3,褥瘡壊死組織　柔らかい壊死組織あり
N09,wound_necrosis_n6,褥瘡壊死組織　硬く厚い密着した壊死組織あり
N09,wound_pocket_p6,褥瘡ポケット　4未満
N09,wound_pocket_p6_4to16,褥瘡ポケット　4以上16未満
N09,wound_pocket_p12,褥瘡ポケット　16以上36未満
N09,wound_pocket_p24,褥瘡ポケット　36以上
N09,has_bedsore_1,褥瘡の有無　あり
N09,has_pain_1,痛みの有無　あり
N09,has_paralysis_1,麻痺の有無　あり
N09,has_kannsetsu_1,関節拘縮の有無　あり
N09,pain_diagram_1,身体状態図（痛み）　レベル1
N09,pain_diagram_2,身体状態図（痛み）　レベル2
N09,pain_diagram_3,身体状態図（痛み）　レベル3
N09,pain_diagram_4,身体状態図（痛み）　レベル4
N09,mahi_diagram_1,身体状態図（麻痺）　レベル1
N09,mahi_diagram_2,身体状態図（麻痺）　レベル2
N09,mahi_diagram_3,身体状態図（麻痺）　レベル3
N09,kan_diagram_1,身体状態図（関節）　レベル1
N09,kan_diagram_2,身体状態図（関節）　レベル2
N09,kan_diagram_3,身体状態図（関節）　レベル3
N09,jokusou_diagram_1,褥瘡図　レベル1
N09,jokusou_diagram_2,褥瘡図　レベル2
N10,swallowing_1,嚥下　お茶や汁物を含ませてしまいむせ込みにくい
N10,swallowing_2,嚥下　口腔移動がうまく、呑み込むにくい
N10,swallowing_3,嚥下　おかゆ・ゼリー・とろみ食でも含ませてしまい呑み込みにくい
N10,swallowing_4,嚥下　嚥下できない
N10,oral_teeth_gum_1,開口　開口には応じないが徒手的に2横指程度開口可能（要注意）
N10,oral_teeth_gum_2,開口　食いしばりや顎関節の拘縮のため開口量が1横指程度（問題あり）
N10,basic1_eating_2,基本動作（身辺動作）　① 食事摂取　少しの助けでできる
N10,basic1_eating_3,基本動作（身辺動作）　① 食事摂取　多くの助けでできる
N10,basic1_eating_4,基本動作（身辺動作）　① 食事摂取　全面依存
N10,basic1_eating_5,基本動作（身辺動作）　① 食事摂取　動作をしていない（能力に関わらず）
N10,basic1_face_hair_1,基本動作（身辺動作）　② 洗顔・整髪・洗髪　見守や助言があればできる
N10,basic1_face_hair_2,基本動作（身辺動作）　② 洗顔・整髪・洗髪　少しの助けでできる
N10,basic1_face_hair_3,基本動作（身辺動作）　② 洗顔・整髪・洗髪　多くの助けでできる
N10,basic1_face_hair_4,基本動作（身辺動作）　② 洗顔・整髪・洗髪　全面依存
N10,basic1_face_hair_5,基本動作（身辺動作）　② 洗顔・整髪・洗髪　動作をしていない（能力に関わらず）
N10,basic1_wipe_1,基本動作（身辺動作）　③ 手足・体の清拭　見守や助言があればできる
N10,basic1_wipe_2,基本動作（身辺動作）　③ 手足・体の清拭　少しの助けでできる
N10,basic1_wipe_3,基本動作（身辺動作）　③ 手足・体の清拭　多くの助けでできる
N10,basic1_wipe_4,基本動作（身辺動作）　③ 手足・体の清拭　全面依存
N10,basic1_wipe_5,基本動作（身辺動作）　③ 手足・体の清拭　動作をしていない（能力に関わらず）
N10,basic1_upper_clothes_1,基本動作（身辺動作）　④ 上着の着脱（更衣）　見守や助言があればできる
